Location,Variety,Experiment,Plot #,Rep,Plants/acre,Stems/Acre,%Inital Stand,Tons DM/acre,Avg height (in),Avg height (cm),diam_bottom,diam_top
Buffalo County,Vega,1,416-4,4,340182.86,246840,72.56097561,3.88,67.8,172.21,8.188,3.018
Buffalo County,CRS-1,1,417-6,4,1120114.29,304920,27.22222222,2.51,68.75,174.63,7.066,2.798
Buffalo County,Amaze,1,418-3,4,282102.86,72600,25.73529412,1.29,54.6,138.68,8.089,3.502
Buffalo County,Tibor50,2,501-1,1,597394.29,283140,47.39583333,4.07,76.6,194.56,9.365,2.753
Buffalo County,Tibor60,2,502-2,1,414857.14,363000,87.5,3.58,93,236.22,8.805,
Buffalo County,Tibor70,2,503-3,1,472937.14,304920,64.47368421,5.4,91,231.14,9.297777778,
Buffalo County,Felina50,2,505-5,1,680365.71,370260,54.42073171,3.65,70.2,178.31,5.727,
Buffalo County,Felina60,2,506-6,1,663771.43,402930,60.703125,3.15,69.8,177.29,7.373,
Buffalo County,Felina70,2,507-7,1,912685.71,468270,51.30681818,3.37,68.8,174.75,5.942,
Buffalo County,Felina80,2,601-8,2,240617.14,446490,185.5603448,4.28,68.6,174.24,6.735,
Buffalo County,Tibor80,2,602-4,2,531017.14,406560,76.5625,3.72,95,241.3,7.512,
Buffalo County,Tibor50,2,603-1,2,605691.43,442860,73.11643836,4.35,76.2,193.55,5.834,
Buffalo County,Tibor60,2,605-2,2,398262.86,363000,91.14583333,4.48,83.4,211.84,8.126,
Buffalo County,Felina50,2,606-5,2,439748.57,348480,79.24528302,3.04,81.4,206.76,5.813,
Buffalo County,Felina70,2,607-7,2,622285.71,515460,82.83333333,2.44,69.2,175.77,5.199,
Buffalo County,Tibor70,2,701-3,3,647177.14,544500,84.13461538,5.51,93,236.22,8.717,
Buffalo County,Tibor80,2,702-4,3,514422.86,366630,71.27016129,7.04,98,248.92,10.636,
Buffalo County,Tibor60,2,703-2,3,431451.43,377520,87.5,2.87,86.8,220.47,7.271,
Buffalo County,Felina70,2,705-7,3,1095222.86,675180,61.64772727,4.76,81.8,207.77,8.194,
Buffalo County,Felina80,2,706-8,3,414857.14,471900,113.75,3.6,74.2,188.47,8.749,
Buffalo County,Tibor50,2,707-1,3,439748.57,471900,107.3113208,3.61,87.4,222,8.51,
Buffalo County,Tibor80,2,801-4,4,406560,471900,116.0714286,3.06,80.4,204.22,7.165,
Buffalo County,Felina70,2,802-7,4,240617.14,384780,159.9137931,4.52,71.6,181.86,7.054444444,
Buffalo County,Tibor60,2,804-2,4,771634.29,479160,62.09677419,2.72,65.8,167.13,6.177,
Buffalo County,Felina60,2,805-6,4,954171.43,638880,66.95652174,3.6,62,157.48,5.123,
Buffalo County,Tibor70,2,806-3,4,389965.71,359370,92.15425532,3.71,77,195.58,9.103333333,
Buffalo County,Felina80,2,807-8,4,771634.29,588060,76.20967742,3.93,70.2,178.31,6.426,
Buffalo County,,2,808-1,4,555908.57,,,,,,,
Buffalo County,,2,504-4,1,763337.14,,,,,,,
Buffalo County,,2,604-6,2,779931.43,,,,,,,
Buffalo County,,2,608-3,2,373371.43,,,,,,,
Buffalo County,,2,704-6,3,406560,,,,,,,
Buffalo County,,2,708-5,3,472937.14,,,,,,,
Buffalo County,,2,803-5,4,1186491.43,,,,,,,
Whirling Thunder,Fibror79,1,101-1,1,,344850,,4.06,74.8,189.99,6.821,3.168
Whirling Thunder,Futura83,1,102-2,1,,667920,,5.53,65,165.1,6.8125,2.92875
Whirling Thunder,Futura75,1,103-3,1,,326700,,4.73,64.6,164.08,8.751,3.988
Whirling Thunder,Santhica70,1,104-4,1,,413820,,4.64,56,142.24,7.666,3.522
Whirling Thunder,Carmenecta,1,105-5,1,,526350,,5.55,75.4,191.52,9.789,3.657
Whirling Thunder,Enectarol,1,106-6,1,,816750,,5.82,59.6,151.38,8.368,3.168
Whirling Thunder,USO31,1,107-7,1,,330330,,3.81,59.8,151.89,7.008,3.851
Whirling Thunder,Bialob,1,108-8,1,,569910,,5.3,62.6,159,6.868,3.584
Whirling Thunder,Orion33,1,109-9,1,,348480,,4.92,75,190.5,8.71,4.017
Whirling Thunder,Tibor,1,110-10,1,,402930,,5.21,68.8,174.75,7.789,3.221
Whirling Thunder,Muka,1,111-11,1,,664290,,5.56,75.4,191.52,6.578888889,2.982
Whirling Thunder,Ferimon,1,112-12,1,,667920,,5.38,52.8,134.11,5.961,3.075
Whirling Thunder,Futura83,1,201-6,2,,475530,,5.37,67.8,172.21,6.545,2.617
Whirling Thunder,Enectarol,1,202-12,2,,613470,,6.89,81,205.74,8.026,3.306
Whirling Thunder,Tibor,1,203-4,2,,366630,,5.32,72.6,184.4,9.28,3.518
Whirling Thunder,Santhica70,1,205-1,2,,330330,,4.52,73.2,185.93,8.113,3.725
Whirling Thunder,Orion33,1,206-9,2,,352110,,4.3,74.4,188.98,6.197777778,2.766666667
Whirling Thunder,USO31,1,208-10,2,,243210,,3.31,57.4,145.8,5.965,3.139
Whirling Thunder,Muka,1,209-8,2,,323070,,0,54,137.16,5.827,2.897
Whirling Thunder,Fibror79,1,210-3,2,,399300,,5.07,70.2,178.31,7.971111111,3.464444444
Whirling Thunder,Ferimon,1,212-2,2,,123420,,3.84,88.4,224.54,8.353,4.079
Whirling Thunder,Bialob,1,213-5,2,,323070,,3.75,66.8,169.67,6.151,3.216
Whirling Thunder,Carmenecta,1,214-7,2,,315810,,6.41,88.8,225.55,7.347,2.748
